,TextDescription,Severity,EncodedSeverity
642,NSS 3.48 must depend on NSPR 4.24,normal,4
643,Thunderbird doesn't display S/MIME message contents,normal,4
644,"ubuntu1804 - indic-shaping/gujarati-3b.html == indic-shaping/gujarati-3-ref.html | image comparison, max difference: 255, number of differing pixels: 46",normal,4
645,Caching in ASRouterTargeting for attachedFxAOAuthClients,normal,4
646,Update pip-tools to 3.9.0,normal,4
647,Test doh-rollout addon's local storage migration,normal,4
648,"Intermittent /content-security-policy/frame-ancestors/report-blocked-frame.sub.html | Violation report status OK. - assert_equals: No such report. expected """" but got ""false""",normal,4
649,Avoid passing Scene pointers between SceneBuilderThread and RenderBackend thread,normal,4
650,Intermittent dom/media/tests/mochitest/test_peerConnection_addDataChannelNoBundle.html | PeerConnectionWrapper (pcLocal): legal ICE state transition from new to failed,normal,4
651,snap push to releases task on beta is broken,normal,4
652,"Intermittent Assertion failure: lock->owner == 0, at pr/src/threads/combined/prulock.c:196",normal,4
653,"ubuntu1804 - forms/input/color/transformations-1.html == forms/input/color/transformations-1-ref.html | image comparison, max difference: 7, number of differing pixels: 113",normal,4
654,Enable and observe Window frustrated use counters,normal,4
655,Switch off objc_exception cargo patch,normal,4
656,Make the scrolling input latency telemetry work for Webrender,normal,4
657,[Fission] about:logins doesn't load without user interaction,normal,4
658,[jsdbg2] Debugger::wrapNullableDebuggeeObject should exist,minor,3
659,Hover Text for Bugs should have Bug summary,minor,3
660,Provide an API to notify when an extension is causing the embedder to slow down,normal,4
661,[Experiment] Pref-Flip Experiment: Unimplemented Window API use counters in beta Fx 72.0 to 73.0 Beta,normal,4
662,debug output needed for the following cronjobs in BMO,normal,4
663,Update wpt reftest harness to match internal reftest harness,normal,4
664,Recover gcs missing main summary days from s3,normal,4
665,Trying to send discarded browsing context via SendWindowPostMessage(),normal,4
666,Upgrade Firefox 74 to use NSPR 4.25,normal,4
667,"ubuntu1804 - forms/input/checkbox/checkbox-clamp-02.html == forms/input/checkbox/checkbox-clamp-02-ref.html | image comparison, max difference: 25, number of differing pixels: 32",normal,4
668,Update virtualenv-clone to 0.5.3,normal,4
669,"Intermittent tests/jit-test/jit-test/tests/xdr/lazy.js | [CodeCoverage] Setting handlers for process 9135. (code 3, args """") [0.6 s]",normal,4
670,Please help getting the minidump for a crash on my private phone,normal,4
671,[jsdbg2] DebuggerFoo::CallData argument validation exceptions are getting out of hand,minor,3
672,ubuntu1804 - devtools/client/shared/test/browser_html_tooltip_screen_edge.js | The tooltip panel is over (ie intersects) the anchor horizontally: 1270 < 1137 and 935 < 1280 -,normal,4
673,[wpt-sync] Sync PR 20568 - [css-pseudo] Set default styles to ::marker,normal,4
674,network ID: use hardcoded IP for route checking in nsNetworkLinkService on MacOS,normal,4
675,Update pipenv to 2018.11.26,normal,4
676,setFixedBottomOffset is not necessarily called when the offset value is not changed,normal,4
677,Select/Option dropdown closes randomly when opening dropdown,normal,4
678,[wpt-sync] Sync PR 20570 - Move CORB coverage for application/pdf into //services/network.,normal,4
679,Report fission.autostart pref telemetry using RECORD_DEFAULTPREF_VALUE for all pref branches,normal,4
680,Intermittent dom/media/tests/mochitest/test_dataChannel_basicVideo.html | Test timed out.,normal,4
681,network ID: fail to ask kernel the gateway of the pre-defined address,normal,4
682,Access to moz-fx-data-shared-prod,normal,4
683,Intermittent toolkit/components/thumbnails/test/browser_thumbnails_bg_crash_while_idle.js | We should have recovered and handled new capture requests -,normal,4
684,Intermittent accessible/tests/browser/states/browser_test_link.js | Test timed out -,normal,4
685,PeerConnnection's operations chain should run synchronous parts of operations synchronously.,normal,4
686,ubuntu1804 - update web-platform-test-reftests manifest for tests that fail on both ubuntu1604 and ubuntu1804,normal,4
687,"""messages.list"" errors while listing messages of a folder if the folder path contains spaces",normal,4
688,Migrate custom infra scripts to use docker-compose,normal,4
689,Confirm infrastructure refactor with enterprise security,normal,4
690,Include django in the requirements file(s),normal,4
691,"Intermittent [  FAILED  ] Version13Only/TlsConnectTls13.RetryStatefulDropCookie/1, where GetParam() = 1 (5116 ms)",normal,4
692,[wpt-sync] Sync PR 20571 - Fix XRFrame.getPose matrix math,normal,4
693,Intermittent UnicodeEncodeError: 'ascii' codec can't encode character '\x80' in position 45: ordinal not in range(128),normal,4
694,Migrate ansible scripts to docker,normal,4
695,[wpt-sync] Sync PR 20572 - Refactor VRPose to fit better with WebXr concepts,normal,4
696,"Intermittent toolkit/components/passwordmgr/test/mochitest/test_autocomplete_tab_between_fields.html | If only the footer is present then there should be no expectedValues - got 1, expected +0",normal,4
697,Very high memory usage resulting in several second lags when switching tabs/windows,normal,4
698,Make conditioned profiles for desktop Firefox the default in Raptor and Browsertime,normal,4
699,[Automated review] NSS - Coverity task failed - Cannot connect to 34.83.115.217:9090 - D54821,normal,4
700,Intermittent mozilla/tests/webdriver/take_full_screenshot/iframe.py | test_source_origin[same_origin] - setup error [Address already in use (os error 98)],normal,4
701,Intermittent ShutdownLeaks | failed to parse line <[Child 2790: Main Thread]: I/DocShellAndDOMWindowLeak --DOCSHELL 0x10ea5a000 == 2 [pid = 2790] [id = {9bb26c05-49>,normal,4
702,SecureTrust: Unconstrained ICA not included in WTBR audit report,normal,4
703,automatically expire API keys,normal,4
704,Desktop Firefox won't sync logins,normal,4
705,[wpt-sync] Sync PR 20573 - [ChromeDriver] Workaround DevTools fullscreen issue,normal,4
706,Links with 'user-select: none' or svg content duplicates on copy,normal,4
707,Change triage owner for Firefox :: Firefox Monitor,normal,4
708,Intermittent TALOS | application crashed [@ static void nsThreadManager::ReleaseThread(void *)],normal,4
709,[wpt-sync] Sync PR 20574 - [Import Maps] Migrate Jest-based resolution tests into JSON-based tests,normal,4
710,No audio is played on any website,normal,4
711,[wpt-sync] Sync PR 20575 - Issue 21810/improve validation methods,normal,4
712,Spaces changed to non-breaking spaces near edits after using WYSIWYG editor,normal,4
713,"make SVGTextFrame avoid getting glyph advances that cross text frames, and re-enable letter/word-spacing",normal,4
714,[wpt-sync] Sync PR 20576 - [css-text] Allow flexibility where spec is undefined,normal,4
715,60 FPS videos stutter be it on YouTube or Twitch,normal,4
716,[Interventions] The extension needs a way to install an update and restart for users who have opted out of automatic updates,normal,4
717,Intermittent devtools/server/tests/browser/browser_accessibility_text_label_audit.js | Test timed out -,normal,4
718,Getting null Exception point after entering valid data in login page,normal,4
719,Previously created sessions continue being valid after MFA activation,normal,4
720,Remove legacy aboutDialog-appUpdater.js implementation,normal,4
721,Information Exposure Through Directory Listing vulnerability,normal,4
722,color dots at the top of the window,normal,4
723,Language Pack (German) not active for spell check in FF Dev Edition,normal,4
724,[wpt-sync] Sync PR 20578 - [webnfc] Fix leaky NDEFReader_scan_filter.https.html,normal,4
725,Define a keyboard shortcut to start the measuring tool,normal,4
726,Dismiss the measuring tool with the Escape key,normal,4
727,Fix Site Identity mochitests for Fission enabled,normal,4
728,mach bootstrap fails with 'haskell-platform' definition is invalid,normal,4
729,Remove the use of contentBlockingEvent in RemoteSecurityUI,normal,4
730,Document what happens to metric recording if Glean is not initialized,normal,4
731,Height of elements renders inconsistently through different positions at 125% DPI,normal,4
732,Enable Feature Policy allow attribute and permission delegation by default,normal,4
733,es-mx WNP text not as per mockup,normal,4
734,Remove redundant formatting instructions from C++ coding style document,normal,4
735,[Ubuntu] Truncated “Set as default browser” window on “pl” locale,normal,4
736,Provide measurement units in Talos,normal,4
737,Filter rules misses option to forward with a template,normal,4
738,ThreadSanitizer: data race [@ nsUrlClassifierDBService::Observe] vs. [@ nsUrlClassifierDBServiceWorker::CacheCompletions] on gShuttingDownThread,critical,1
739,The text from the tips is not displayed when the Firefox browser is resized to 25% width or less,minor,3
740,Legacy ::marker (nsBulletFrame) doesn't support unicode-bidi:normal,minor,3
741,File download notification stays forever,normal,4
742,iOS tests crash on CircleCI,normal,4
743,ThreadSanitizer: data race [@ updateEdge<js::BaseShape>] vs. [@ isForwarded],critical,1
744,Remove the use of contentBlockingLog of nsIRemoteTab.idl,normal,4
745,User profile name replaced with {???} with unichar and long charaters on rename,normal,4
746,[wpt-sync] Sync PR 20580 - Update wasm-module-builder.js from V8.,normal,4
747,Embedded tweets are not displayed with ETP enabled,normal,4
748,Date.getFullYear is returning Year with dash sign,normal,4
749,CSS Filter doesn't follow the W3C specification,normal,4
750,pedantic(yaml) got one more failure line: TypeError: cannot use a string pattern on a bytes-like object,normal,4
751,Unusual behavior after reinstalling Firefox over an opened one,normal,4
752,Reduce state in dom/indexedDB classes,normal,4
753,reactivate valentina.peleskei@softvision.ro Bugzilla account.,normal,4
754,Find on page does not reset result on “Whole Word” change,normal,4
755,Extension block request: Mendeley Importer,normal,4
756,Implement AVX variation of ICCv2 transforms,normal,4
757,Server timing not available,normal,4
758,extend EnableTrackingProtection policy to allow disabling ETP for list of hosts/websites,normal,4
759,I want all block extension to be reslved,normal,4
760,maven.mozilla.org: Make beetmover fail whenever an invalid MavenVersion is passed,normal,4
761,Error with certificate in development  (on localhost) using ASP NET Core 2.2 MOZILLA_PKIX_ERROR_SELF_SIGNED_CERT,normal,4
762,Rendering artifacts with WebRender,normal,4
763,Refresh Firefox text pushes buttons out of window,normal,4
764,HTML input type number,normal,4
765,Intermittent [tier2] chrome://mochitests/content/chrome/dom/plugins/test/mochitest/test_hangui.xhtml logged result after SimpleTest.finish():,normal,4
766,move Thunderbird off remotely hosted discovery pane in about:addons,normal,4
767,[wpt-sync] Sync PR 20582 - [Periodic Background Sync] Update unregister logic,normal,4
768,Disable mochitest timeout checks when --debugger=rr is present,normal,4
769,Documents for TrustFactory(Pty)Ltd Audit Statements 2019,normal,4
770,Port bug 1600281: Rewrite horizontal boxes that were incorrectly translated from align=right to align=end to use pack=end,normal,4
771,WebGPU buffer creation and mapping,normal,4
772,Work in progress is failing with no arc,normal,4
773,Firefox 68.3.0esr bouncer check is failing for 404-ing on bz2 complete MARs,normal,4
774,Don't CC the entire sheriff team when filing a regression,normal,4
775,Intermittent devtools/client/webconsole/test/browser/browser_webconsole_stubs_page_error.js | application crashed [@ mozalloc_handle_oom(unsigned int)],normal,4
776,The fields change their position when the user select another Country/Region from Form and Autofill section,normal,4
777,Enabling WebRender causes Facebook Messenger video calls to not render nor play audio,normal,4
778,"When network connections have multiple DNS suffixes, the DNS Suffix list in about:networking#dns is empty.",normal,4
779,Intermittent tier 2 devtools/shared/test-helpers/browser_allocation_tracker.js | At least 1000 more objects are reported still allocated (315319 + -8793 -> 306526) -,normal,4
780,Intermittent security/manager/ssl/tests/unit/test_intermediate_preloads.js | xpcshell return code: 0,normal,4
781,Sanitize HTML fragments created for about: pages,normal,4
782,"Intermittent LeakSanitizer | leak at content_process_main, main, std::sys::unix::alloc::_$LT$impl$u20$core..alloc..GlobalAlloc$u20$for$u20$std..alloc..System$GT$::alloc, __rdl_alloc",normal,4
783,[Wayland] Print preview window is malformed/transparent,normal,4
784,Python bindings: Control logging the Rust from the Python logging API,normal,4
785,handle stage database growing size,normal,4
786,[wpt-sync] Sync PR 20583 - Workaround occasional timeout in wpt/svg/animations/cyclic-syncbase-2.html,normal,4
787,[siglist] Add AllocInfo::Get<T> to the prefix list,normal,4
788,Perma TEST-UNEXPECTED-FAIL | Builds differ. See the diff.html or diff.txt artifact,normal,4
789,"The tip is permanently dismissed when clicking anywhere inside the tip but outside the ""OK, Got It"" button",normal,4
790,[autoconfig] Re-run config after password changed,normal,4
791,Port |Bug 501426 - make the open tabs in background pref be named mail.tabs.loadInBackground and allow overriding default for context/middle click with the shift key| to SeaMonkey,normal,4
792,[wpt-sync] Sync PR 20585 - [LayoutNG] Set column fragments to the actual column size.,normal,4
793,can't add menuitem to menulist,normal,4
794,Implement Runtime.executionContextsCleared,normal,4
795,Intermittent browser/components/extensions/test/browser/browser_ext_contentscript_animate.js | Test timed out -,normal,4
796,move MOZ_DATA_REPORTING into toolkit/moz.configure,normal,4
797,Pass aspect ratio landscape/portrait of fullscreen content in onFullScreen,normal,4
798,tidy up some json serialization stuff,normal,4
799,"""Couldn't load XPCOM"" error, possible race condition on startup after hibernation.",normal,4
800,Add support for blocking on the DNS resolution for HTTP channels,normal,4
801,Ensure that the DNS cache TTL suffices for typical browsing sessions such that we don't end up sending repeated queries to the network,normal,4
802,Kick off DNS prefetches requesting CNAME resolution everywhere that we kick off DNS prefetches,normal,4
803,bouncer aliases entries not being updated for >= ESR 68.3.0,normal,4
804,WebGL on WebRender is slow on Linux,normal,4
805,Treeherder login triggers the pop-up blocker,normal,4
806,about: pages are not respecting the style-src CSP rule,normal,4
807,Mention MSI in in-tree installer docs and link to SUMO coverage,normal,4
808,The new about:config page doesn't support filtering with regular expressions,normal,4
809,network.trr.mode=3 prevents the user from accessing any website after reconnecting to the network,normal,4
810,Permanent Android tp6m-1-c UnicodeEncodeError: 'ascii' codec can't encode character '\xb1' in position 109: ordinal not in range(128),normal,4
811,Thunderbird Taskcluster ShipIt mark-as-shipped fails with scope error on scriptworker,normal,4
812,Ignore exceptions from getFrames call when thread context is invalid,normal,4
813,Update MDN links on about:debugging's setup page,normal,4
814,messaging_example: window.browser is not defined,normal,4
815,S3 buckets for tooltool,normal,4
816,Change Firefox::Security triage owner,normal,4
817,Migrate tooltool s3 buckets to cloudops,normal,4
818,duckduckgo has two names in about:telemetry,normal,4
819,[wpt-sync] Sync PR 20586 - Add taskcluster CI badge,normal,4
820,Links from external applications only open into default profile on Windows 10,normal,4
821,Falling back to patch may result in file renames being silently ignored,normal,4
822,Some generated headers are self included,normal,4
823,"Intermittent leakcheck | tab 1040 bytes leaked (CondVar, Mutex, PRemoteWorkerChild, RemoteWorkerChild, ThreadEventTarget, ...)",normal,4
824,Update pdf.js to version 2.4.163,normal,4
825,Please grant jlorenzo@mozilla.com and mtabara@mozilla.com access to lambda workers,normal,4
826,Search bar does not recognize the search engine shortcuts,normal,4
827,Remove layout.css.xul-box-display-values.survive-blockification.enabled pref,normal,4
828,"Make the legacy config tests either run with both configurations, or make sure they turn the modern preference off",normal,4
829,Handle placeables in Fluent accesskeys,normal,4
830,Add browsertime --video recording support for Firefox android,normal,4
831,Document how to access the data,normal,4
832,Raptor-browsertime on Fenix: 404 error when attempting to download fenix performancetest apk in CI,normal,4
833,error conduit[ERR-CONDUIT-CORE]: Validation errors: The author of a revision can not be a reviewer.,normal,4
834,Add-on icons disappear,normal,4
835,Add support to raptor-browsertime for running the speedometer benchmark on Firefox android,normal,4
836,Update references from `this.urlbar` to `gURLBar`,normal,4
837,Add gecko profiling support to raptor-browsertime (android),normal,4
838,"[wpt-sync] Sync PR 20588 - Revert ""[LayoutNG] Set ShrinkToFit when determining MinMaxSize via layout""",normal,4
839,"Recursive backplate functions for visibility, locating text frames should be consolidated for performance",normal,4
840,BrowserGlue._migrateUI should bail out early if no migration is necessary,normal,4
841,Allow changing of sync settings before syncing,normal,4
842,TelemetrySessionId annotation is documented but was never intentionally populated,normal,4
843,Enable conditioned-profile support for raptor-browsertime on android,normal,4
844,Respect Windows settings for `Trusted sites` zones with `Automatic login`,normal,4
845,[wpt-sync] Sync PR 20589 - Check active/previous interval when rescheduling after interval update,normal,4
846,"Handle ""install-certificate"" inline with original command",normal,4
847,heap-use-after-free in [@ GetOwningEventTarget],normal,4
848,Optimize change-hint for text decoration changes that don't affect layout,normal,4
849,Some WPT tests for ::marker use non-allowed properties,normal,4
850,[iris firefox] Please upload the zipp==0.6.0 whl file to Mozilla's internal Pypi mirror,normal,4
851,"Firefox ESR 68.3.0 has issues with Microsoft SharePoint Office Web App (mainly Word Web App). When editing in Word Web App, hitting the enter key makes all previous text disappear.",normal,4
852,[wpt-sync] Sync PR 20593 - Portals: Block element.focus,normal,4
853,BrowserHost::GetOwnerElement doesn't addref its result,normal,4
854,"Discord webpage login screen won't load when FPN addon is enabled (but FPN is off) with error ""'prototype' is read-only""",normal,4
855,whereby.com results in audio video drift if you update the settings,normal,4
856,new certificate viewer doesn't handle certificates with an AuthorityKeyIdentifier without a keyIdentifier,normal,4
857,Hook up WebGPU CTS,normal,4
858,Make options parameter default to {},normal,4
859,Please delete LDAP Account: cbonacus@mozilla.com,normal,4
860,Remove locales-src and related scripts,normal,4
861,Add UI for modifying resistFingerprinting prefs when privacy.resistFingerprinting is enabled,normal,4
862,"TBIRD will not allow attachment of files, ver 71.0b4 32bit",normal,4
863,"Manually enabling ""DNS over HTTPS"" setting doesn't inform the user that it will be applied at next Firefox launch",normal,4
864,Fenix Stability Metrics Discussion and Fennec-vs-Fenix Comparison,normal,4
865,Stopping the composition recorder when returning frames to memory prevents it from starting again,normal,4
866,Answer FunctionBox::isLazyFunctionWithoutEnclosingScope without resorting to function member,normal,4
867,"Bookmarks, Extensions, everything lost after Firefox upgraded to 68.3.0esr (64-Bit) without notice",normal,4
868,Relative paths broken on https://iot.mozilla.org/schemas,normal,4
869,Navigating with the Tab key in the protections panel makes its header's content to disappear,normal,4
870,Merge openViewOnFocus and retained results features,normal,4
871,[meta] Software WebRender,normal,4
872,Intermittent netwerk/test/crashtests/1334468-1.html | assertion count 2 is more than expected 0 assertions,normal,4
873,"Intermittent bugs/534919-1.html == bugs/534919-1-ref.html | image comparison, max difference: 255, number of differing pixels: 408",normal,4
874,"Double ""Block notification"" icon on address bar.",normal,4
875,Failed to compile shader due to integer overflow,normal,4
876,webm recordings duration is set to Infinity,normal,4
877,"Intermittent LeakSanitizer | leak at nsThread::ProcessNextEvent, inlinedGetChild, getChildAccessorProperty, js::NativeObject::addAccessorPropertyInternal",normal,4
878,"In ./mach configure, infer the location of the bootstrapped lucetc/wasi-sysroot",normal,4
879,Implement installBuiltIn for extensions,normal,4
880,High CPU load after updating to 72.0b2,normal,4
881,"When compressing the width of the browser window, the icons for bookmarks and pocket that are inside the searchbox overlap into the toolbar.",normal,4
882,Update Neqo to 0.1.7 and support draft 24,normal,4
883,TestDllinterceptor fails when run from other Windows consoles,normal,4
884,Rewrite BytecodeEmitter::emitYieldStar to emit a real loop,normal,4
885,"Debugger ""Paused"" banner polish: Move info icon from right side to left of text",normal,4
886,Hit MOZ_CRASH(There should be room for registering the new object) at js/src/vm/TypeInference.cpp:3494,critical,1
887,[wpt-sync] Sync PR 20595 - [Longtasks] Fix containerType and containerSrc in attribution,normal,4
888,Audit BUG_COMPONENT entries in moz.build files,normal,4
889,Intermittent TEST-UNEXPECTED-TIMEOUT | /screen-capture/getdisplaymedia.https.html | getDisplayMedia() resolves with stream with video track - Test timed out,normal,4
890,[wpt-sync] Sync PR 20596 - Test if we remove Content-(Length|Type) for POST->GET redirects,normal,4
891,Intermittent Return code: 3221225477,normal,4
892,"When opening an updated build after 4AM, the ""metrics"" ping is sent with the previous build's metrics but the current' build's client_info.",normal,4
893,Crash on some window focus changes under Wayland,normal,4
894,Add an API that returns an element's containing block,normal,4
895,[wpt-sync] Sync PR 20597 - Add additional WPT tests for new cases of KeyframeEffect.target and .pseudoElement,normal,4
896,Deploy iprepd-nginx 0.1.10 to ffmonitor nonprod,normal,4
897,Capture profiles off-main thread,normal,4
898,[jsdbg2] DebugAPI::slowPathTraceGeneratorFrame has a bad comment,normal,4
899,[iris firefox] Please upload the following to Mozilla's internal Pypi mirror,normal,4
900,Rename .xul files to .xhtml in toolkit/mozapps,normal,4
901,gfx.status.compositor is NULL in an unexpectedly frequent number of pings,normal,4
902,Sorting of Tabs not remembered after restart,normal,4
903,Rename remaining .xul files to .xhtml in toolkit/,normal,4
904,Rename remaining .xul files to .xhtml in browser/,normal,4
905,Rename the two remaining .xul test files in caps/ to .xhtml,normal,4
906,saved files list empty after restart,normal,4
907,Intermittent TVw mozilla/tests/webdriver/send_alert_text.py | test_basic_auth_unsupported_operation - UnknownErrorException: unknown error (500): Reached error page: about:neterror?e=fileNotFound&u,normal,4
908,Intermittent TVw mozilla/tests/webdriver/send_alert_text.py | test_basic_auth_unsupported_operation - assert 404 == 500,normal,4
909,"Intermittent devtools/shared/webconsole/test/test_console_serviceworker_cached.html | received correct number of console calls - got 8, expected 3",normal,4
910,Intermittent devtools/server/tests/unit/test_extension_storage_actor.js | application crashed [@ abort],normal,4
911,Support the echo-message capability for IRC,normal,4
912,Enable clang-tidy's cppcoreguidelines-pro-type-member-init,normal,4
913,Add an identifier to browser elements and expose it on the entire BrowsingContext tree rendered in that browser,normal,4
914,"[unittest] test_android7_power - Make Android temporarily use on-the-fly generated profiles, rather than conditioned ones, until we add support for them",normal,4
915,defer appointment,normal,4
916,"Don't break test_build_profile for desktop Firefox, when defaulting to using conditioned profiles",normal,4
917,Fonts blurry with hardware acceleration enabled,normal,4
918,Domain-specific user-agent overrides not working on Firefox 71,normal,4
919,Remove XUL content type (vnd.mozilla.xul+xml),normal,4
920,Race condition between Normandy migrations and UI startup,normal,4
921,move MOZ_CRASHREPORTER and company to moz.configure,normal,4
922,Remove tests using `data:application/vnd.mozilla.xul+xml` URIs,normal,4
923,Retention analysis for the PUSH survey (POST-Skyline survey),normal,4
924,Mana page's Find/Replace feature no longer works in Firefox 63+,critical,1
925,Support the chgost capability for IRC,normal,4
926,"Remove chrome ""redirects"" and always use the full path to a resource (i.e. use chrome://global/skin/global.css instead of chrome://global/skin/)",normal,4
927,Taskcluster 24.1.1 deploy tracking,normal,4
928,Show public irccloud avatars in tooltips,normal,4
929,Skew on-sync recipe runs to avoid crushing servers,normal,4
930,Show icons in menu and context menu,normal,4
932,"about:welcome redirects to ""Would you like to sync device to your account?"" page when already signed into sync",normal,4
933,DevEdition section should only be shown to users on the release channel,normal,4
934,Intermittent invalidation/nudge-to-integer-invalidation.html?reverse != about:blank | failed reftest-no-paint,normal,4
935,Fixing typos in moz_external_vr.h,normal,4
936,[wpt-sync] Sync PR 20600 - Adjust infinite-scroll-event to pass.,normal,4
937,[wpt-sync] Sync PR 20601 - [Import Maps] Remove Blink internals dependency from WPT/import-maps/common,normal,4
938,Update ingestion-beam integration workflow with sampled documents,normal,4
939,|mach vendor python| wants to remove Python 2 packages from requirements.txt,normal,4
940,Intermittent browser/base/content/test/tabs/browser_new_web_tab_in_file_process_pref.js | Uncaught exception - OperationError: The operation failed for an operation-specific reason,normal,4
941,No master password prompt appears before autofill,normal,4
942,Clicking on an extension icon in the toolbar opens a blank tooltip,normal,4
943,Unify MediaControlActions and MediaControlKeysEvent,normal,4
944,"Webrender, android ,fenix nightly, adreno 505 gpu, snapdragon 430 cpu.",normal,4
945,Intermittent dom/media/tests/mochitest/test_peerConnection_closeDuringIce.html | application timed out after 370 seconds with no output,normal,4
946,"network.trr.mode 3, upgraded to Firefox 71 completely breaks DNS resolution with default DNS-over-HTTPS",critical,1
947,User needs to sign into Firefox Sync each time they open Firefox on Mac,normal,4
948,Troubleshoot github_private_pem regression in v24,normal,4
949,Permafailing diff-reproducible-linux32 build differences in libxul.so,normal,4
950,Thunderbird has stopped receiving current emails from att.net while resending the same email,normal,4
951,Please deploy syncstorage-rs 0.1.8 to production and staging,normal,4
952,Duplicate symbols from libgkrust.a in Mac OS debug build,normal,4
953,Intermittent assert test not in self.per_test_reports[suite],normal,4
954,Intermittent /service-workers/service-worker/detached-context.https.html | TypeError: this.mm is null,normal,4
955,"Intermittent test262\built-ins\String\prototype\Symbol.iterator\this-val-to-str-err.js | (args: """") | (TIMEOUT) [300.0 s]",normal,4
956,Hang after interacting with prompt from beforeunload event,normal,4
957,"Remove unnecessary domain instance checks after ""domains.get()""",normal,4
958,"Add a ""Dismiss Website"" option in the context menu of ""Top Sites""",normal,4
959,Add tabs-on-bottom mode,normal,4
960,Intermittent /screen-orientation/onchange-event.html | Unhandled rejection: Operation is not supported,normal,4
961,crash at null in [@ mozilla::dom::MediaKeySystemAccessManager::CheckDoesWindowSupportProtectedMedia],normal,4
962,Update the version of mercurial on the transplant server,normal,4
963,"[jsdbg2] All handlers for a Debugger hook function should be guaranteed to run, even if an early one returns termination",normal,4
964,Overlay scrollbars not working anymore,normal,4
965,Muted Tab Plays Sound Periodically on Video Stream,normal,4
966,SetScriptGlobalObject happens before we have properly set up the document (and hence principal!) of the inner window,normal,4
967,Synthesizing mouse click on <button> element does not cause click event in web-platform test only on server,normal,4
968,Re-enable the SDP parallel parsing mode,normal,4
969,[jsdbg2] Always capture async stacks when DevTools is open,normal,4
970,UITour's `fxa` configuration request fails if the fxa account is in a bad state.,normal,4
971,"Unable to install Add-ons - ""incompatible version""",normal,4
972,Unexpected response from server' message with enabling network.http.network_access_on_socket_process.enabled,normal,4
973,Firefox Color broken in Developer 72.0b1,normal,4
974,toolkit.tabbox.switchByScrolling:true doesn't switch tabs when scrolling over empty space in tab bar,normal,4
975,Left/right touchpad scrolling is preempted by forward/back gesture when body is overflow hidden when zoomed in with pref apz.allow_zooming=true,normal,4
976,Function request: set up the function of group saving for bookmarks.,normal,4
977,same date for two days,normal,4
978,Cannot create bookmark with %s in host part of url,normal,4
979,Some click areas are too small,normal,4
980,"When using the page text search function, the searched text is not easy to find.",normal,4
981,foreignObject border styling not working,normal,4
982,Swipe in from the right to go back rather than back to the previous page.,normal,4
983,Homoglyph spoofing uri representation oO0,normal,4
984,History access page cannot be queried by date,normal,4
985,"Firefox iOS v20.0, v20.1, & v20.2 System Requirements, do not mention, iOS v13 !",normal,4
986,Make sure the condprofclient picks mozilla-central artifacts by default,critical,1
987,Many newly created address lists are not recognized by Thunderbird.,normal,4
988,Dictionaries get installed but do not show up in the spellchecker,normal,4
989,Deleted mails are wrongly sorted as junk mail,normal,4
990,The usage of nsIScreenManager::ScreenForRect in nsGlobalWindowOuter::MoveToOuter looks wrong,normal,4
991,mozilla/code-review Release 1.1.0,normal,4
992,There are Visual Glitches when resizing the browser window with WebRender on Laptops with Nvidia GPU,normal,4
993,Loading agent sheets/JS causes severe scrolling lag in 73 when setting scrollbar thumb's alpha to 0,normal,4
994,Backfill does not start on Treeherder,normal,4
995,[storage] Prevent all columns except for value from resizing with the cookies panel,normal,4
996,Investigate a way to share configuration in glean-core tests,normal,4
997,"The ""Redirect"" tip is displayed on DuckDuckGo's results page after performing a search in the Address bar",normal,4
998,Use IsOriginPotentiallyTrustworthy when determining referrer value,normal,4
999,The OBT inspector does not see page navigations in the content process,normal,4
1000,/whatsnew should be updated for the new release schedule,normal,4
1001,31.39% build times (android-5-0-aarch64) regression on push 4279ebeb54cdc42aba20f377854235da35733476 (Fri November 29 2019),normal,4
1002,Intermittent dom/media/test/test_autoplay_gv_play_request.html | Test timed out.,normal,4
1003,Intermittent layout/base/tests/test_bug687297.html | application timed out after 370 seconds with no output,normal,4
1004,The color-picker does not work in the OBT for `color` properties in the content page,normal,4
1005,The element picker in the Animations panel does not work in the OBT,normal,4
1006,"""Tooltip for datapoint with signature NaN and date Jan 01 12:10 UTC can't be found.""",normal,4
1007,[siglist] Add moz_malloc_size_of to the prefix list,normal,4
1008,Thunderbird 68. There is no way to minimize the application to tray.,normal,4
1009,The box-model diagram in the OBT does not update itself when margin/padding/border is changed in the content page,normal,4
1010,Please grant jwatt@jwatt.org scm_versioncontrol,normal,4
1011,firefox doesn't offer to use CA certificates as client authentication certificates,normal,4
1012,"The ""use in console"" contextual menu item does not work for content elements in the OBT",normal,4
1013,72.0b2 fails to build on double-conversion,normal,4
1014,"The ""screenshot node"" contextual menu item does not work for content elements in the OBT",normal,4
1015,The [event] popup debugger link does not work for event handlers on content nodes in the OBT,normal,4
1016,Bump Cranelift to 497b4e1ca1d33dfd54314366d8e3a27a9fea225f,normal,4
1017,Auth0-prod local development credentials,normal,4
1018,Remove the second arg of nsIXULBrowserWindow::SetOverLink,normal,4
1019,[wpt-sync] Sync PR 20602 - Add shallawa to svg/META.yml,normal,4
1020,Frequent hangs in debugger code,normal,4
1021,Scroll position not saved in about:preferences pages when changing sections,normal,4
1022,One-Click search keyword reset if changing preference pane / category,normal,4
